scenario,trial,success,erased_cells,confident_symbol_errors,confident_shape_errors,confident_color_errors,encode_ms,render_ms,channel_ms,visual_decode_ms,fec_decode_ms,error
clean-9px,1,true,0,0,0,0,0.931,10.387,97.965,13.931,0.729,""
clean-9px,2,true,0,0,0,0,0.348,9.677,97.698,15.584,0.614,""
clean-9px,3,true,0,0,0,0,0.342,10.199,96.417,14.641,0.742,""
clean-9px,4,true,0,0,0,0,0.370,9.722,96.627,13.842,0.654,""
clean-9px,5,true,0,0,0,0,0.406,9.553,95.943,14.919,0.683,""
nominal-9px,1,false,2786,2,2,0,0.332,9.909,233.006,14.902,0.862,"RS codeword 68 cannot correct 54 known erasures plus unknown errors"
nominal-9px,2,true,2368,5,5,0,0.422,10.033,226.970,14.654,0.892,""
nominal-9px,3,true,2589,3,3,0,0.346,9.745,224.035,15.157,1.253,""
nominal-9px,4,true,2771,5,5,0,0.455,9.864,226.860,15.103,1.085,""
nominal-9px,5,false,3611,8,8,0,0.356,10.049,226.793,15.390,0.388,"RS codeword 3 cannot correct 56 known erasures plus unknown errors"
nominal-10px,1,true,2961,0,0,0,0.349,11.991,225.438,14.760,1.220,""
nominal-10px,2,true,2185,6,6,0,0.392,11.898,225.106,15.022,0.928,""
nominal-10px,3,true,2018,3,3,0,0.338,11.796,225.347,15.574,0.969,""
nominal-10px,4,true,2288,1,1,0,0.371,12.340,227.304,14.805,1.009,""
nominal-10px,5,true,2769,0,0,0,0.456,12.058,227.745,14.769,1.305,""
nominal-8px,1,false,5823,596,596,0,0.350,8.067,228.401,14.990,0.265,"RS codeword 3 cannot correct 73 known erasures plus unknown errors"
nominal-8px,2,false,6934,603,603,0,0.288,8.372,225.817,14.595,0.331,"RS codeword 61 cannot correct 89 known erasures plus unknown errors"
nominal-8px,3,false,8998,567,567,0,0.439,8.194,231.808,15.895,0.260,"RS codeword 0 cannot correct 95 known erasures plus unknown errors"
nominal-8px,4,false,7178,594,594,0,0.371,8.141,226.419,14.533,0.375,"RS codeword 3 cannot correct 75 known erasures plus unknown errors"
nominal-8px,5,false,6567,580,580,0,0.328,8.033,228.268,14.570,0.406,"RS codeword 0 cannot correct 64 known erasures plus unknown errors"
nominal-7px,1,false,22236,1090,1090,0,0.335,6.177,226.881,14.311,0.230,"RS codeword 0 cannot correct 191 known erasures plus unknown errors"
nominal-7px,2,false,19600,1509,1509,0,0.415,9.482,227.916,14.770,0.353,"RS codeword 0 cannot correct 172 known erasures plus unknown errors"
nominal-7px,3,false,14623,1103,1103,0,0.400,6.518,227.556,14.953,0.301,"RS codeword 0 cannot correct 140 known erasures plus unknown errors"
nominal-7px,4,false,16279,790,790,0,0.275,6.258,227.666,14.697,0.391,"RS codeword 61 cannot correct 172 known erasures plus unknown errors"
nominal-7px,5,false,20542,857,857,0,0.361,6.360,226.029,15.416,0.359,"RS codeword 0 cannot correct 192 known erasures plus unknown errors"
moderate,1,false,7214,25,25,0,0.373,9.919,229.404,15.016,0.252,"RS codeword 0 cannot correct 82 known erasures plus unknown errors"
moderate,2,false,5441,17,17,0,0.292,10.316,227.194,14.852,0.601,"RS codeword 0 cannot correct 63 known erasures plus unknown errors"
moderate,3,false,5970,25,25,0,0.422,9.728,228.363,14.417,0.374,"RS codeword 7 cannot correct 68 known erasures plus unknown errors"
moderate,4,false,6177,19,19,0,0.318,9.800,229.202,15.210,0.412,"RS codeword 0 cannot correct 80 known erasures plus unknown errors"
moderate,5,false,7333,45,45,0,0.396,9.666,226.159,14.543,0.491,"RS codeword 0 cannot correct 65 known erasures plus unknown errors"
strong-color-drift,1,true,2507,2,2,0,0.450,9.665,230.420,16.046,1.112,""
strong-color-drift,2,true,2980,9,9,0,0.367,9.995,227.083,14.463,1.313,""
strong-color-drift,3,false,3526,1,1,0,0.313,9.610,226.196,15.017,0.598,"RS codeword 79 cannot correct 52 known erasures plus unknown errors"
strong-color-drift,4,true,2467,11,11,0,0.471,9.838,231.617,14.995,1.093,""
strong-color-drift,5,true,2998,3,3,0,0.263,9.743,226.160,14.632,0.960,""
localized-occlusion,1,true,3052,7,7,0,0.333,9.770,228.107,14.629,1.023,""
localized-occlusion,2,true,2628,2,2,0,0.337,10.336,224.270,15.346,1.017,""
localized-occlusion,3,true,2510,3,3,0,0.331,9.755,225.944,14.617,0.907,""
localized-occlusion,4,true,2429,2,2,0,0.291,9.865,228.717,14.307,1.076,""
localized-occlusion,5,true,2673,3,3,0,0.316,9.899,226.748,14.708,0.944,""
harsh,1,false,26386,1065,1065,0,0.457,10.100,233.880,14.396,0.308,"RS codeword 0 cannot correct 217 known erasures plus unknown errors"
harsh,2,false,24525,628,628,0,0.382,10.157,237.846,15.282,0.422,"RS codeword 0 cannot correct 198 known erasures plus unknown errors"
harsh,3,false,25976,430,430,0,0.353,9.811,234.828,14.577,0.226,"RS codeword 0 cannot correct 211 known erasures plus unknown errors"
harsh,4,false,26927,439,439,0,0.429,9.737,233.817,14.881,0.270,"RS codeword 0 cannot correct 221 known erasures plus unknown errors"
harsh,5,false,25826,420,420,0,0.416,10.040,232.743,14.674,0.362,"RS codeword 0 cannot correct 216 known erasures plus unknown errors"
